temp(C) wspeed smoist(mm) stemp(F)
16 5.4 399 64
16 5.1 431 66
20 5 420 72
2 5.4 439 72
3 5.1 351 69
3 5.4 395 57
12 5 336 65
14 5.1 450 55
17 5.5 419 72
3 5.1 395 66
2 5.5 424 76
3 5 425 76
3 5.1 369 76
14 5.5 412 74
6 5.4 433 66
6 5.4 369 73
14 5.1 379 76
16 5.5 355 69
18 5.4 397 61
10 5.1 343 68
10 5.1 397 58
8 5.5 416 59
15 5.3 450 73
8 5.2 416 55
7 5.5 409 71
8 5.1 352 74
5 5.5 394 56
17 5.1 418 64
20 5.5 396 58
17 5.3 345 76
20 5.5 407 54
6 5.5 375 74
12 5.5 348 75
6 5 405 56
10 5.3 355 76
5 5 433 63
5 5.1 401 67
6 5.2 442 73
5 5.3 431 66
10 5.2 350 56
15 5.4 414 71
13 5.4 400 69
10 5.5 342 57
20 5.1 335 60
20 5.4 431 54
12 5 428 68
11 5.3 425 72
5 5.3 427 69
11 5.4 184 71
7 7.2 183 58
8 7.1 122 69
8 7.5 135 73
5 7 142 60
20 7.2 423 64
9 5.1 438 70
17 5.3 395 48
12 5.5 360 47
12 5.3 407 55
17 5.4 411 52
19 5 401 54
10 5.3 402 51
13 5.3 411 77
18 5.5 375 60
16 5.2 418 59
15 5.4 444 63
10 5.4 353 59
13 5 396 63
18 5.2 421 55
17 5.5 428 77
10 5 382 58
9 5 351 74
19 5.3 433 57
12 5.1 328 55
7 5.2 385 69
8 5.2 370 73
19 5.3 342 58
18 5.2 406 62
10 5.1 327 64
12 5.1 386 58
7 5.4 396 76
16 5.1 350 75
13 5 389 77
10 5 325 55
15 5.1 337 57
7 5.2 356 63
8 5.3 344 68
12 5.2 428 70
17 5 437 60
11 7.1 402 74
19 7.1 424 77
5 5.3 367 63
16 5.3 424 66
14 5 442 60
19 5 449 77
14 5.5 357 62
20 5.1 409 71
5 5 376 71
6 5.3 410 68
5 5.3 359 63
3 5.4 337 77
2 5.4 329 76
2 5.3 330 62
13 5.5 392 73
10 5 354 55
9 5.5 426 57
3 5.5 437 59
3 5.4 333 61
2 5.5 441 62
2 5.3 435 64
11 5.5 445 65
17 5.2 400 63
13 5.5 345 69
20 5.4 363 55
15 5.2 360 60
20 5.2 366 56
7 5.1 421 58
11 5.2 331 70
6 5 367 72
10 5.2 341 60
20 5 431 56
17 5 381 55
14 5.2 425 58
9 5.5 358 68
11 5.1 373 72
11 5 450 65
16 5.1 445 77
8 5.4 426 55
19 5 388 54
17 5.2 443 54
7 5.5 441 56
15 5.3 423 63
9 5.4 371 75
9 5.5 371 57
13 5.4 420 72
17 5 439 58
8 5 358 60
7 5 413 69
17 5.4 409 76
10 5.1 327 74
8 5.2 330 74
18 5.5 411 60
12 5.1 356 55
8 5.4 359 71
12 5.2 346 69
15 5.1 139 63
7 7.4 173 71
17 7.5 120 74
20 7.2 175 69
9 7.4 152 75
16 7.5 448 56
13 5.2 410 72
20 5.3 427 45
11 5.2 429 46
20 5.5 435 55
14 5.2 407 55
16 5.5 354 46
7 5 413 50
10 5.4 390 64
9 5.2 383 76
12 5.4 351 73
14 5.2 428 58
20 5.2 416 66
19 5.1 406 58
14 5.5 325 77
11 5 428 68
16 5.5 330 73
20 5.4 335 54
7 5.5 410 66
9 5.4 438 55
18 5.2 403 66
5 5.4 427 67
12 5.2 425 58
16 5.1 345 69
17 5.4 415 56
16 5.1 359 55
11 5.5 415 59
18 5.5 448 68
19 5.3 406 76
11 5.1 431 72
20 5.1 375 54
15 5.4 328 75
6 5.5 373 71
19 5 332 73
19 5.2 400 59
9 7.3 398 74
10 7 374 73
19 5.4 438 68
9 5.3 336 75
13 5.1 444 73
16 5.1 402 76
16 5.3 357 67
5 5.2 433 60
14 5.4 331 64
6 5.5 431 65
12 5.5 432 65
3 5.5 424 66
2 5 381 68
2 5.5 377 61
13 5.3 450 56
19 5.2 408 72
11 5 421 73
3 5.5 390 71
2 5.5 417 67
2 5.1 425 73
3 5.3 396 75
11 5 392 59
8 5.1 401 67
11 5.4 329 57
9 5.1 325 74
12 5 409 67
10 5 434 68
15 5.2 381 65
19 5.5 392 71
16 5.3 369 60
17 5.5 379 71
10 5.3 344 62
8 5.1 402 60
11 5.2 379 64
11 5.5 447 69
12 5.2 359 58
9 5.1 416 70
8 5.3 427 63
7 5 382 68
16 5.2 394 57
13 5.3 333 54
16 5.5 420 72
10 5.1 383 63
19 5.1 393 72
12 5 401 68
7 5.1 442 66
9 5.4 444 76
10 5 436 69
16 5.4 347 66
10 5.5 336 77
9 5.1 411 61
7 5 445 72
14 5.1 352 61
15 5 327 69
8 5.4 365 76
19 5.2 375 60
9 5 170 61
5 7 129 63
5 7.2 147 68
18 7 166 57
5 7.5 142 68
20 7.5 382 59
14 5.2 406 62
8 5 332 52
5 5.2 428 45
6 5 426 54
7 5.1 409 52
8 5 382 54
19 5.3 416 52
14 5.4 450 68
19 5 433 60
10 5.3 350 54
16 5.1 410 64
16 5.2 381 62
5 5.5 435 76
18 5.2 415 73
7 5.2 342 61
14 5 344 58
14 5 402 72
16 5 375 65
19 5.1 410 60
20 5.3 389 67
9 5.4 416 66
18 5.4 374 57
13 5.4 340 64
11 5.5 389 64
14 5.2 401 59
18 5.5 443 61
10 5.4 398 68
19 5.1 383 71
14 5.4 410 56
19 5.1 366 75
18 5.4 350 57
8 5.4 340 64
17 5.1 339 76
12 5.5 364 68
18 7.2 345 61
8 7.4 443 65
11 5.3 441 58
15 5.3 335 73
5 5.2 356 72
20 5 385 71
15 5 382 56
10 5.3 411 54
10 5.5 360 59
20 5.5 367 61
20 5 411 68
2 5.5 357 66
3 5.5 345 60
3 5.2 391 67
12 5 335 67
9 5.1 448 66
14 5.5 399 58
2 5.1 363 64
3 5 359 62
2 5.5 363 59
3 5.5 396 54
7 5.3 387 55
5 5 403 65
7 5.2 333 75
20 5.3 340 66
17 5.5 444 55
14 5.5 384 60
14 5.1 442 76
14 5.2 402 59
6 5.5 394 64
8 5.5 449 61
6 5.3 371 73
15 5.1 339 76
16 5.4 398 56
16 5.5 408 75
5 5 381 62
14 5.2 380 76
17 5.4 358 64
16 5.2 343 56
14 5.2 347 73
6 5.4 433 61
9 5.4 415 76
12 5.2 375 71
7 5.4 328 72
6 5.4 402 58
12 5 386 63
12 5.2 438 67
11 5.1 340 68
15 5.3 375 57
13 5.1 409 66
8 5.4 360 68
14 5.5 450 61
6 5.1 378 73
10 5.5 413 62
19 5.4 391 70
15 5.3 401 61
14 5.1 154 55
5 7.5 151 57
20 7.2 143 70
20 7.4 197 57
7 7.4 125 59
15 7.1 412 70
10 5.4 376 76
11 5 342 49
11 5.4 361 52
12 5 400 47
14 5.2 375 53
14 5.5 409 46
11 5.3 409 47
11 5.4 344 67
13 5.2 391 59
5 5.4 356 72
5 5 373 57
5 5.1 428 76
19 5.2 433 73
13 5.1 367 72
19 5.2 406 62
7 5.4 390 74
7 5.2 408 62
8 5.4 448 65
10 5.5 365 58
8 5.2 331 57
14 5.3 348 69
10 5.2 442 55
16 5.4 409 68
13 5.3 449 68
18 5.4 414 66
17 5.1 373 58
10 5.1 414 67
19 5.3 422 68
16 5.5 377 58
5 5.4 406 75
6 5.4 425 60
17 5.4 434 68
8 5.4 433 59
11 5 409 75
13 7.1 425 75
20 7.5 446 65
11 5.4 387 77
6 5.5 357 66
15 5.2 357 55
8 5.5 425 59
11 5.1 329 64
9 5.2 445 69
18 5.4 408 65
6 5.4 437 63
9 5.5 375 75
2 5.4 353 68
2 5.4 330 65
3 5.1 339 72
5 5.2 398 73
10 5 422 75
10 5 421 76
2 5 378 67
2 5.5 333 64
2 5.4 364 66
3 5.1 442 69
11 5.4 412 65
15 5 418 77
6 5.2 356 59
8 5.5 428 69
12 5.2 412 65
19 5.1 443 60
8 5.1 389 77
17 5.4 364 57
9 5.1 421 63
20 5.5 394 59
6 5.1 393 70
16 5 355 71
11 5 403 65
15 5.2 405 75
11 5.3 396 69
12 5 397 62
18 5.3 420 67
19 5.5 424 74
14 5.5 327 75
18 5.3 440 62
7 5.4 360 54
8 5.3 363 75
19 5.4 374 57
8 5.4 338 61
8 5.5 371 57
20 5.1 447 67
6 5.3 368 62
14 5.4 384 69
6 5.2 450 76
10 5.4 407 61
15 5.3 413 63
12 5.1 413 62
13 5.3 405 62
6 5.3 440 73
14 5.1 423 61
8 5.1 151 54
10 7.5 128 66
8 7.3 158 68
7 7.5 183 63
19 7.4 167 69
14 7.5 377 72
20 5.1 380 60
8 5.3 413 48
10 5.2 368 50
20 5.5 416 49
13 5.5 378 54
19 5 347 53
12 5.3 330 49
14 5.4 442 71
14 5 413 66
18 5.3 354 64
8 5.3 332 56
18 5.5 421 57
11 5 359 59
17 5.2 397 56
15 5.5 412 77
14 5.1 433 57
14 5.3 408 63
5 5.2 370 66
19 5.4 441 64
11 5.1 385 71
8 5.1 355 55
13 5.4 374 60
7 5.1 419 63
18 5.4 365 58
12 5 330 58
18 5.5 354 59
19 5.5 359 57
20 5.5 334 74
19 5.2 374 62
18 5.5 338 65
17 5.3 416 72
10 5.1 373 77
6 5.2 445 70
5 5 390 61
19 7.5 438 64
18 7.3 408 68
20 5.4 443 60
6 5.1 359 77
13 5.1 329 69
13 5.1 449 60
11 5.2 449 71
15 5 449 54
11 5 417 63
14 5.3 365 74
12 5.1 441 70
3 5 397 70
2 5.1 370 70
2 5.2 446 61
6 5.3 338 73
8 5.5 432 75
19 5.3 341 59
2 5.3 404 54
2 5.2 424 65
2 5.5 347 67
2 5 385 69
14 5.3 403 54
19 5.2 336 59
5 5.3 450 76
14 5.3 326 63
18 5.4 337 60
15 5.3 342 77
16 5 450 60
13 5.3 369 63
20 5 396 55
12 5.1 450 55
7 5 384 68
7 5 370 73
7 5.3 447 75
5 5.5 328 61
7 5.4 377 64
11 5.1 425 64
15 5.1 438 66
14 5.2 414 57
8 5.4 438 64
12 5.4 361 65
7 5.2 436 58
8 5.3 447 63
15 5.1 392 70
8 5.4 390 66
16 5 444 56
5 5.4 441 62
12 5.4 350 54
6 5.2 337 74
8 5.2 436 66
8 5.2 429 57
20 5.1 444 61
7 5.4 443 70
10 5.2 334 56
11 5.1 404 59
9 5.1 447 76
11 5.2 191 61
20 7.2 129 54
5 7.3 193 77
18 7.2 200 63
14 7.1 141 61
12 7.4 364 72
5 5.4 345 62
13 5.3 414 45
16 5.3 339 51
7 5.3 325 49
16 5 402 52
6 5.3 394 49
19 5.5 382 54
19 5.2 328 73
9 5.3 415 54
9 5.5 383 68
16 5.5 446 54
9 5 387 58
9 5.1 325 72
20 5.1 366 74
20 5.3 338 75
13 5.4 377 73
16 5.2 373 65
20 5.1 415 59
9 5 394 57
11 5.3 381 55
5 5.2 325 58
18 5 349 74
14 5.4 370 64
11 5.3 413 73
10 5.1 332 72
20 5 371 60
18 5.2 373 63
5 5.4 366 58
15 5.2 336 65
18 5.4 330 76
20 5.2 396 54
19 5.3 344 65
8 5.3 341 63
10 5 425 55
8 7 353 75
15 7.1 418 62
12 5.3 379 63
14 5.3 419 65
16 5.5 441 74
12 5.5 401 69
18 5.3 408 64
5 5.2 325 66
7 5.1 411 59
12 5.4 438 77
9 5.3 422 67
3 5.1 368 77
2 5.5 430 75
3 5.3 405 76
12 5.1 444 69
6 5 378 66
8 5.4 401 54
3 5 346 72
3 5.3 422 75
2 5.5 392 70
2 5.2 435 56
11 5.2 367 64
17 5.4 397 56
17 5.3 431 68
5 5 446 72
19 5.5 379 71
9 5 406 71
6 5.4 363 65
16 5.5 428 71
7 5.2 369 65
6 5.1 427 59
14 5.2 366 76
13 5.4 390 59
9 5.2 401 58
13 5 435 68
16 5.3 413 70
5 5.4 441 76
9 5.5 394 71
14 5.5 373 62
14 5.1 362 77
8 5 438 71
17 5.4 437 76
16 5.3 399 68
13 5.1 436 59
12 5.3 420 70
8 5.5 450 76
18 5.3 433 75
18 5 446 65
9 5.5 423 62
11 5.2 350 65
5 5.3 406 61
16 5.5 392 76
18 5.4 421 72
11 5.3 448 55
6 5.2 401 70
6 5.1 347 54
16 5.3 193 74
14 7.1 125 59
16 7.2 160 54
20 7.1 123 66
19 7.4 131 54
9 7.1 441 67
9 5.2 391 67
15 5.5 406 54
11 5.5 398 52
19 5.1 355 49
11 5.2 392 54
13 5.3 349 51
18 5.5 429 54
13 5.2 348 61
7 5.3 417 76
6 5.5 446 55
14 5 328 71
10 5 435 60
14 5.2 427 69
20 5.4 345 58
14 5.3 419 60
20 5.3 418 56
5 5.2 363 60
16 5.2 380 63
13 5.5 405 73
9 5.4 441 67
14 5.1 353 64
5 5.2 341 61
19 5 354 55
19 5.1 375 55
20 5.4 396 75
17 5 368 69
15 5.1 375 58
8 5.2 445 76
20 5.2 409 58
11 5.1 395 64
7 5.3 383 73
7 5.5 330 75
14 5.2 420 71
12 5.5 363 58
10 7.5 341 57
12 7.1 372 62
8 5.5 434 63
13 5 359 73
16 5.2 402 69
12 5.4 369 70
15 5.3 407 63
5 5.5 446 67
8 5.2 429 55
9 5 377 70
10 5.1 352 76
3 5.2 408 54
2 5.4 370 56
2 5.3 423 57
19 5.5 399 67
15 5 359 54
19 5.3 337 66
2 5 362 57
3 5.4 445 70
2 5.2 425 75
3 5.2 337 54
20 5.2 402 61
13 5.4 409 64
10 5.5 397 65
15 5.4 332 64
17 5.5 418 58
5 5.5 441 62
19 5.5 332 69
12 5 425 60
15 5.4 351 75
12 5.5 352 54
12 5.1 395 55
6 5 436 66
20 5.1 380 58
17 5.4 406 69
9 5.3 370 71
19 5.4 327 56
6 5.4 399 57
19 5.3 352 77
5 5.4 428 66
20 5.5 418 73
13 5.3 342 61
17 5.4 443 64
7 5.2 390 76
8 5.5 419 74
9 5.2 356 60
17 5.3 445 55
5 5.4 386 70
12 5.2 362 77
10 5 393 71
8 5.2 364 75
9 5.4 436 55
16 5.4 426 58
14 5 365 61
11 5.5 368 66
19 5.2 373 54
16 5.3 174 56
